symbol,timestamp,open,high,low,close,volume,interval
EURJPY,2025-02-22T08:15:00,156.050003,156.059998,156.0099945,156.020004,0.0,15m
EURJPY,2025-02-22T08:30:00,156.020004,156.14,156.0099945,156.14,0.0,15m
EURJPY,2025-02-22T08:45:00,156.14,156.22,156.13,156.17999,0.0,15m
EURJPY,2025-02-24T09:00:00,156.33,156.39,156.2,156.21001,0.0,15m
EURJPY,2025-02-24T09:15:00,156.21001,156.22,156.13,156.2,0.0,15m
EURJPY,2025-02-24T09:30:00,156.2,156.32001,156.2,156.32001,0.0,15m
EURJPY,2025-02-24T09:45:00,156.32001,156.39999,156.28999,156.31,0.0,15m
EURJPY,2025-02-24T10:00:00,156.3,156.46001,156.25999,156.42,0.0,15m
EURJPY,2025-02-24T10:15:00,156.42,156.53999,156.39999,156.5,0.0,15m
EURJPY,2025-02-24T10:30:00,156.49001,156.52,156.27,156.3,0.0,15m
EURJPY,2025-02-24T10:45:00,156.28999,156.49001,156.25999,156.48,0.0,15m
EURJPY,2025-02-24T11:00:00,156.49001,156.49001,156.34,156.39,0.0,15m
EURJPY,2025-02-24T11:15:00,156.39,156.47,156.32001,156.44,0.0,15m
EURJPY,2025-02-24T11:30:00,156.45,156.47,156.35001,156.42,0.0,15m
EURJPY,2025-02-24T11:45:00,156.42,156.49001,156.37,156.42999,0.0,15m
EURJPY,2025-02-24T12:00:00,156.45,156.69,156.45,156.55,0.0,15m
EURJPY,2025-02-24T12:15:00,156.55,156.66,156.53,156.64999,0.0,15m
EURJPY,2025-02-24T12:30:00,156.64,156.81,156.60001,156.77,0.0,15m
EURJPY,2025-02-24T12:45:00,156.78,157.0,156.73,156.97,0.0,15m
EURJPY,2025-02-24T13:00:00,156.98,157.21001,156.97,157.19,0.0,15m
EURJPY,2025-02-24T13:15:00,157.17999,157.25999,157.059998,157.11,0.0,15m
EURJPY,2025-02-24T13:30:00,157.12,157.23,157.11,157.17,0.0,15m
EURJPY,2025-02-24T13:45:00,157.17,157.19,157.029999,157.029999,0.0,15m
EURJPY,2025-02-24T14:00:00,157.029999,157.11,157.0099945,157.11,0.0,15m
EURJPY,2025-02-24T14:15:00,157.10001,157.17999,157.039993,157.070007,0.0,15m
EURJPY,2025-02-24T14:30:00,157.070007,157.089996,156.89999,156.94,0.0,15m
EURJPY,2025-02-24T14:45:00,156.94,156.96001,156.85001,156.92,0.0,15m
EURJPY,2025-02-24T15:00:00,156.92,156.95,156.87,156.94,0.0,15m
EURJPY,2025-02-24T15:15:00,156.94,156.97,156.89,156.94,0.0,15m
EURJPY,2025-02-24T15:30:00,156.94,156.97,156.89,156.92999,0.0,15m
EURJPY,2025-02-24T15:45:00,156.92,156.96001,156.89,156.89999,0.0,15m
EURJPY,2025-02-24T16:00:00,156.89999,156.94,156.85001,156.92,0.0,15m
EURJPY,2025-02-24T16:15:00,156.92,157.070007,156.89,157.059998,0.0,15m
EURJPY,2025-02-24T16:30:00,157.050003,157.16,157.029999,157.14999,0.0,15m
EURJPY,2025-02-24T16:45:00,157.16,157.19,157.10001,157.12,0.0,15m
EURJPY,2025-02-24T17:00:00,157.12,157.17,157.0099945,157.11,0.0,15m
EURJPY,2025-02-24T17:15:00,157.12,157.14999,157.050003,157.059998,0.0,15m
EURJPY,2025-02-24T17:30:00,157.050003,157.089996,156.98,156.99001,0.0,15m
EURJPY,2025-02-24T17:45:00,157.0,157.089996,157.0,157.070007,0.0,15m
EURJPY,2025-02-24T18:00:00,157.059998,157.17,157.029999,157.10001,0.0,15m
EURJPY,2025-02-24T18:15:00,157.10001,157.11,157.029999,157.039993,0.0,15m
